Formula,Name,M+2H,M-H,Exact Mass,M+H,M+Na,2M-H,2M+H,2M+Na,,,,,,,,,,
C8H10,Barodamycin,69.52262,136.0234,137.0307,138.0380,160.0297,273.0541,275.0687,297.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,BH-890a,70.02262,137.0234,138.0307,139.0380,161.0297,275.0541,277.0687,299.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,BH-890beta,70.52262,138.0234,139.0307,140.0380,162.0297,277.0541,279.0687,301.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Candistine,71.02262,139.0234,140.0307,141.0380,163.0297,279.0541,281.0687,303.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Chromin; Cacaomycin; C-6,71.52262,140.0234,141.0307,142.0380,164.0297,281.0541,283.0687,305.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Flavoviridomycin; LIA-0530,72.02262,141.0234,142.0307,143.0380,165.0297,283.0541,285.0687,307.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Guamycin; Guamicin,72.52262,142.0234,143.0307,144.0380,166.0297,285.0541,287.0687,309.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,HA-236,73.02262,143.0234,144.0307,145.0380,167.0297,287.0541,289.0687,311.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Protocidin,73.52262,144.0234,145.0307,146.0380,168.0297,289.0541,291.0687,313.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,LL-BH-890-a,74.02262,145.0234,146.0307,147.0380,169.0297,291.0541,293.0687,315.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,LL-BH-890-beta,74.52262,146.0234,147.0307,148.0380,170.0297,293.0541,295.0687,317.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,MYC-4,75.02262,147.0234,148.0307,149.0380,171.0297,295.0541,297.0687,319.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Mycoheptin-B,75.52262,148.0234,149.0307,150.0380,172.0297,297.0541,299.0687,321.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Onomycin-II; J-4-A,76.02262,149.0234,150.0307,151.0380,173.0297,299.0541,301.0687,323.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,PA-86,76.52262,150.0234,151.0307,152.0380,174.0297,301.0541,303.0687,325.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Plumbomycin-A; LIA-0570A,77.02262,151.0234,152.0307,153.0380,175.0297,303.0541,305.0687,327.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Plumbomycin-B; LIA-0570B,77.52262,152.0234,153.0307,154.0380,176.0297,305.0541,307.0687,329.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Polifungin-B,78.02262,153.0234,154.0307,155.0380,177.0297,307.0541,309.0687,331.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,RP-17732,78.52262,154.0234,155.0307,156.0380,178.0297,309.0541,311.0687,333.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,RP-7071,79.02262,155.0234,156.0307,157.0380,179.0297,311.0541,313.0687,335.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,RP-9971,79.52262,156.0234,157.0307,158.0380,180.0297,313.0541,315.0687,337.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Sistomycosin; NSC-149789,80.02262,157.0234,158.0307,159.0380,181.0297,315.0541,317.0687,339.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,T-23-W,80.52262,158.0234,159.0307,160.0380,182.0297,317.0541,319.0687,341.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Tetraene-BG-6; Tetraene-OS-1,81.02262,159.0234,160.0307,161.0380,183.0297,319.0541,321.0687,343.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Tetraenin-A; HA-33,81.52262,160.0234,161.0307,162.0380,184.0297,321.0541,323.0687,345.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Tetraenin-B; HA-34,82.02262,161.0234,162.0307,163.0380,185.0297,323.0541,325.0687,347.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Tetrafungin,82.52262,162.0234,163.0307,164.0380,186.0297,325.0541,327.0687,349.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Tetramedin,83.02262,163.0234,164.0307,165.0380,187.0297,327.0541,329.0687,351.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Tetramycoin-A; H-234,83.52262,164.0234,165.0307,166.0380,188.0297,329.0541,331.0687,353.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Tetramycoin-B; H-235,84.02262,165.0234,166.0307,167.0380,189.0297,331.0541,333.0687,355.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Unamycin-A,84.52262,166.0234,167.0307,168.0380,190.0297,333.0541,335.0687,357.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,Xanthalicin-A; 1130-12-A,85.02262,167.0234,168.0307,169.0380,191.0297,335.0541,337.0687,359.0604,,,,,,,1000000,1000000,1000000,1000000
C8H10,"1,4-Dimethylbenzene; p-Xylene",85.52262,168.0234,169.0307,170.0380,192.0297,337.0541,339.0687,361.0604,,,,,,,1000000,1000000,1000000,1000000
C7H8O,Benzyl alcohol,86.02262,169.0234,170.0307,171.0380,193.0297,339.0541,341.0687,363.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8N2,"2,5-Dimethylpyrazine",86.52262,170.0234,171.0307,172.0380,194.0297,341.0541,343.0687,365.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8N2,"2,6-Dimethylpyrazine",87.02262,171.0234,172.0307,173.0380,195.0297,343.0541,345.0687,367.0604,,,,,,,1000000,1000000,1000000,1000000
C6H7NO,2-Aminophenol; Questiomycin B; o-Aminoph,87.52262,172.0234,173.0307,174.0380,196.0297,345.0541,347.0687,369.0604,,,,,,,1000000,1000000,1000000,1000000
C6H7NO,2-Acetyl pyrrole,88.02262,173.0234,174.0307,175.0380,197.0297,347.0541,349.0687,371.0604,,,,,,,1000000,1000000,1000000,1000000
C6H7NO,3-Hydroxymethylpyridine,88.52262,174.0234,175.0307,176.0380,198.0297,349.0541,351.0687,373.0604,,,,,,,1000000,1000000,1000000,1000000
C6H6O2,Resorcinol,89.02262,175.0234,176.0307,177.0380,199.0297,351.0541,353.0687,375.0604,,,,,,,1000000,1000000,1000000,1000000
C6H6O2,2-Acetylfurane,89.52262,176.0234,177.0307,178.0380,200.0297,353.0541,355.0687,377.0604,,,,,,,1000000,1000000,1000000,1000000
C5H5NO2,Pyrrole-2-carboxylic acid,90.02262,177.0234,178.0307,179.0380,201.0297,355.0541,357.0687,379.0604,,,,,,,1000000,1000000,1000000,1000000
C5H9N3,Histamine,90.52262,178.0234,179.0307,180.0380,202.0297,357.0541,359.0687,381.0604,,,,,,,1000000,1000000,1000000,1000000
C4H4N2O2,Butynediamide; Aquamycin; Cellocidin; Le,91.02262,179.0234,180.0307,181.0380,203.0297,359.0541,361.0687,383.0604,,,,,,,1000000,1000000,1000000,1000000
C4H4N2O2,Emimycin,91.52262,180.0234,181.0307,182.0380,204.0297,361.0541,363.0687,385.0604,,,,,,,1000000,1000000,1000000,1000000
C4H4N2O2,Uracil,92.02262,181.0234,182.0307,183.0380,205.0297,363.0541,365.0687,387.0604,,,,,,,1000000,1000000,1000000,1000000
C4H4N2O2,Enimycin; 1-Hydroxypyrazin-2(1H)-one,92.52262,182.0234,183.0307,184.0380,206.0297,365.0541,367.0687,389.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8O2,"3,5-Dimethyl-3-oxol-2-on; 3,5-Dimethylfu",93.02262,183.0234,184.0307,185.0380,207.0297,367.0541,369.0687,391.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8O2,2-Hydroxy-3-methylcyclopentenone,93.52262,184.0234,185.0307,186.0380,208.0297,369.0541,371.0687,393.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8O2,"Dihydro-dimethylfuranone, struct. a",94.02262,185.0234,186.0307,187.0380,209.0297,371.0541,373.0687,395.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8O2,"Dihydro-dimethylfuranone, struct. b",94.52262,186.0234,187.0307,188.0380,210.0297,373.0541,375.0687,397.0604,,,,,,,1000000,1000000,1000000,1000000
C6H8O2,3-Methoxy-2-cyclopentenone,95.02262,187.0234,188.0307,189.0380,211.0297,375.0541,377.0687,399.0604,,,,,,,1000000,1000000,1000000,1000000
C3H3N3O2,Azomycin; 2-Nitroimidazole; 11A,95.52262,188.0234,189.0307,190.0380,212.0297,377.0541,379.0687,401.0604,,,,,,,1000000,1000000,1000000,1000000
C5H7NO2,(S)-2-Amino-4-pentynoic acid; Propargylg,96.02262,189.0234,190.0307,191.0380,213.0297,379.0541,381.0687,403.0604,,,,,,,1000000,1000000,1000000,1000000
C5H7NO2,SF-1836,96.52262,190.0234,191.0307,192.0380,214.0297,381.0541,383.0687,405.0604,,,,,,,1000000,1000000,1000000,1000000
C4H6N2O2,cis-beta-Carboxyacrylamidine; U-20904,97.02262,191.0234,192.0307,193.0380,215.0297,383.0541,385.0687,407.0604,,,,,,,1000000,1000000,1000000,1000000
C4H6N2O2,beta-Cyanoalanine; 2-Amino-3-cyano-propi,97.52262,192.0234,193.0307,194.0380,216.0297,385.0541,387.0687,409.0604,,,,,,,1000000,1000000,1000000,1000000
C7H14O,5-Methyl-3-hexanone,98.02262,193.0234,194.0307,195.0380,217.0297,387.0541,389.0687,411.0604,,,,,,,1000000,1000000,1000000,1000000
C7H14O,4-Heptanone,98.52262,194.0234,195.0307,196.0380,218.0297,389.0541,391.0687,413.0604,,,,,,,1000000,1000000,1000000,1000000
C5H9NO2,2-Amino-4-hydroxypentanoic acid lactone;,99.02262,195.0234,196.0307,197.0380,219.0297,391.0541,393.0687,415.0604,,,,,,,1000000,1000000,1000000,1000000
C6H13NO,Ileumycin; H 698-SY-2,99.52262,196.0234,197.0307,198.0380,220.0297,393.0541,395.0687,417.0604,,,,,,,1000000,1000000,1000000,1000000
